user_id,os,age
--PYPMX8QWg0ioT5zfORmU-S5Lln0lot,And,41
-16-xXbeDcvkZJtTpRwMi57Yo2ZQpORv,iOS,31
-1de9sT-MLwVVvnC0ncCLnqEqpSi3XSN,iOS,16
-3A3L2jnM55B_Q1bRXMjZ6sPnINIj-Y1,And,41
-3bhcSgPOIdQAPkPNcchxvECGqGQQ78k,And,42
-3fmY1WsLkYJwN_8lZQMmxZd6zJTAcT1,iOS,27
-3q-oynqxFEgSHUwX802hpmi1louyQNv,And,22
-428TMckUlhn6ptxN7gR2FGaSyXjSnaD,iOS,35
-4O8WnD8dT6nWho-4KbIm6TvnK4BmjX_,And,-1
-4ltLPS55n6J2wSUCLxEZwxYdeW37cK5,And,17
-5BA0EwkyhGLCC8FxzvvDgyrZWYJM33I,iOS,21
-5Cwn2Fcx9j16QSM2-SLiaLMm0sS4E2I,And,45
-5o3lkvJctT3uURb5JWPVxe1VjqhyzAi,And,39
-622WUNWBtjX5VGKx8UnOtn2NVHD_NaB,iOS,37
-62U2A3KHjNZ2XXmOgQTSWEfPg1RRWWy,iOS,27
-63J8veARgGL3ulnRKblm4xhhwkvjKzG,iOS,33
-6UZWGgl3AAI7Df2sVWLX6oT6zP43zo0,iOS,24
-6jxyh56lSivkbLm3WNGRCmdyrdsBmNW,iOS,20
-71z4lG_D-eKnOmDCJlUaNvVcwd808yw,iOS,33
-75tFsDSoUwapUvwCUHTZiGTGkaSDleQ,And,39
-7SKUZkBmbG2ZMvJ0E0jmMDcd8PgmARb,iOS,24
-7uBbvfy4gff6mHV9XotjVO2YlCY2r8v,iOS,26
-8htVW7UIA8qRupSdCx-6PzIXLI_vk2p,And,15
-9qbSavSdufdw9JwmiWX1_URT2E2QxFZ,iOS,24
-Ae6T8G5uAZldwUEOTMR-KzG8C8G6SYn,And,16
-BvO7h0cREi0zszH5EhugLlvfnXmK7le,And,36
-CHArPAojNa8sfK1Ni0WCyQvtF9rlujb,And,16
-CSzbGJ06nTB7UJ8CSsU-IVtn4apPUwX,And,16
-DD4QE4Kp4i7tYalqeGSmJyAtfWLcYY7,And,41
